,0,1,2,3,4,5,6,7,8,val
473,O, , , ,X, , ,O,X,0.6678170535623018
474,O,X, ,O,X, , , ,X,-0.78092041015625
475,O, ,X,O,X, , , ,X,-0.7083570861816406
476,O, , ,O,X,X, , ,X,-0.78092041015625
477,O, , ,O,X, ,X, ,X,0.9015448384334062
478,O, , ,O,X, , ,X,X,-0.10668945312499997
479,O,O,X,O,X, , , ,X,0.9495978595895431
480,O, ,X,O,X,O, , ,X,0.54921875
481,O, ,X,O,X, ,O, ,X,-0.9999682162246744
482,O, ,X,O,X, , ,O,X,0.7533479869924243
483,O, , ,X, , , , , ,0.32034798253259555
484, ,O, ,X, , , , , ,0.6847120758445386
485, , ,O,X, , , , , ,0.7899634168330832
486, , , ,X,O, , , , ,-0.11453992366279188
487, , , ,X, ,O, , , ,0.2143511486044666
488, , , ,X, , ,O, , ,0.27278962392117556
489, , , ,X, , , ,O, ,0.699618547693804
490, , , ,X, , , , ,O,0.7586633012402526
491,X, , ,X,O, , , , ,-0.2696524161459944
492, ,X, ,X,O, , , , ,-0.19407703534513396
493, , ,X,X,O, , , , ,-0.21434374999999997
494, , , ,X,O, ,X, , ,-0.24216237069684515
495, , , ,X,O, , ,X, ,-0.08608305150897809
496, , , ,X,O, , , ,X,-0.21434371679586786
497,O, , ,X,O, , ,X, ,-0.08949816467936639
498, ,O, ,X,O, , ,X, ,0.7462751857586349
499, , ,O,X,O, , ,X, ,0.8177222528171618
500, , , ,X,O,O, ,X, ,0.6208288430696031
501, , , ,X,O, ,O,X, ,0.25389622940689915
502, , , ,X,O, , ,X,O,0.23264488070395156
503,X, , ,X,O, , ,X,O,0.24488934824444133
504, ,X, ,X,O, , ,X,O,-0.8923808460235596
505, , ,X,X,O, , ,X,O,-0.919008312212293
506, , , ,X,O,X, ,X,O,-0.9435116963772038
507, , , ,X,O, ,X,X,O,-0.8842210294039423
508,O,X, ,X,O, , ,X,O,-0.9999899434148384
509, ,X,O,X,O, , ,X,O,-0.8864193019177764
510, ,X, ,X,O,O, ,X,O,-0.8121480941772461
511, ,X, ,X,O, ,O,X,O,-0.8516770529747009
512,O, ,X, , , , , , ,0.7245550391448321
513, ,O,X, , , , , , ,0.6335951685666389
514, , ,X,O, , , , , ,0.6893928144538961
515, , ,X, ,O, , , , ,-0.11023750656319221
516, , ,X, , ,O, , , ,0.4764536041987757
517, , ,X, , , ,O, , ,0.7623754683250407
518, , ,X, , , , ,O, ,0.7242409368675689
